DBA,BORO,BUILDING,STREET,ZIPCODE,address,"INSPECTION DATE","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG",SCORE,GRADE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"THE BUSHWICK DINER",BROOKLYN,299,"WYCKOFF AVE",11237,"299 WYCKOFF AVE",01/23/18,06A,"Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",Critical,12,A,40.700509,-73.912605,1,rooftop,299,"Wyckoff Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"CHAMPION COFFEE",BROOKLYN,1107,"MANHATTAN AVE",11222,"1107 MANHATTAN AVE",12/20/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,40.736312,-73.955419,1,rooftop,1107,"Manhattan Ave",Brooklyn,NY,"Kings County",11222,US,"City of New York"
"CAFE ON RALPH",BROOKLYN,86,"RALPH AVE",11221,"86 RALPH AVE",02/28/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,12,A,40.687182,-73.923705,1,rooftop,86,"Ralph Ave",Brooklyn,NY,"Kings County",11221,US,"City of New York"
"CHOCK FULL O' NUTS",BROOKLYN,1508,"AVENUE J",11230,"1508 AVENUE J",06/02/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,A,40.625097,-73.96103,1,rooftop,1508,"Ave J",Brooklyn,NY,"Kings County",11230,US,"City of New York"
"LULA BAGEL",BROOKLYN,816,"NOSTRAND AVE",11216,"816 NOSTRAND AVE",06/30/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.670892,-73.950547,1,rooftop,816,"Nostrand Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"TANJIA HUKKA BAR",BROOKLYN,1752,"BATH AVENUE",11214,"1752 BATH AVENUE",01/19/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.604148,-74.00685,1,rooftop,1752,"Bath Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"PUEBLO QUERIDO COFFEE",BROOKLYN,195,"GREENPOINT AVE",11222,"195 GREENPOINT AVE",10/25/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.730587,-73.951929,1,range_interpolation,195,"Greenpoint Ave",Brooklyn,NY,"Kings County",11222,US,"TIGER/Line® dataset from the US Census Bureau"
"NOBLE TREE COFFEE",BROOKLYN,445,"ALBEE SQUARE W",11201,"445 ALBEE SQUARE W",11/01/17,05D,"Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",Critical,13,A,40.691147,-73.983288,1,range_interpolation,445,"Albee Sq",Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
"WORD UP CAFE",BROOKLYN,652,"PENNSYLVANIA AVE",11207,"652 PENNSYLVANIA AVE",02/05/18,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,13,A,40.6613,-73.892866,1,rooftop,652,"Pennsylvania Ave",Brooklyn,NY,"Kings County",11207,US,"City of New York"
"VENDOME CAFE",BROOKLYN,360,"FURMAN ST",11201,"360 FURMAN ST",05/23/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,40.693799,-73.999357,1,rooftop,360,"Furman St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"LAZY IBIS",BROOKLYN,663,"FRANKLIN AVE",11238,"663 FRANKLIN AVE",01/24/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,40.675778,-73.955974,1,rooftop,663,"Franklin Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"CHOCOLATE EXPRESSO BAR",BROOKLYN,792,"EASTERN PKWY",11213,"792 EASTERN PKWY",05/11/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.669003,-73.941962,1,rooftop,792,"Eastern Pkwy",Brooklyn,NY,"Kings County",11213,US,"City of New York"
"TUGBOAT TEA COMPANY",BROOKLYN,546,"FLATBUSH AVENUE",11225,"546 FLATBUSH AVENUE",04/04/17,09C,"Food contact surface not properly maintained.","Not Critical",13,A,40.660501,-73.960774,1,range_interpolation,546,"Flatbush Ave",Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
"TANJIA HUKKA BAR",BROOKLYN,1752,"BATH AVENUE",11214,"1752 BATH AVENUE",01/19/17,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.","Not Critical",13,A,40.604148,-74.00685,1,rooftop,1752,"Bath Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"DUNKIN' DONUTS, BASKIN ROBBINS",BROOKLYN,643,"MANHATTAN AVENUE",11222,"643 MANHATTAN AVENUE",10/02/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.724086,-73.951135,1,range_interpolation,643,"Manhattan Ave",Brooklyn,NY,"Kings County",11222,US,"TIGER/Line® dataset from the US Census Bureau"
TBAAR,BROOKLYN,8520,"20TH AVE",11214,"8520 20TH AVE",03/08/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,13,A,40.604992,-73.998056,1,rooftop,8520,"20th Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"LA BAGUETTE SHOP",BROOKLYN,1028,"NOSTRAND AVE",11225,"1028 NOSTRAND AVE",01/09/18,03A,"Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.",Critical,13,A,40.663256,-73.951073,1,range_interpolation,1028,"Nostrand Ave",Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
"VENDOME CAFE",BROOKLYN,360,"FURMAN ST",11201,"360 FURMAN ST",05/23/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,40.693799,-73.999357,1,rooftop,360,"Furman St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"CHARLOTTE PATISSERIE",BROOKLYN,596,"MANHATTAN AVENUE",11222,"596 MANHATTAN AVENUE",07/26/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.723076,-73.950254,1,rooftop,596,"Manhattan Ave",Brooklyn,NY,"Kings County",11222,US,"City of New York"
"DUNKIN' DONUTS, BASKIN ROBBINS",BROOKLYN,643,"MANHATTAN AVENUE",11222,"643 MANHATTAN AVENUE",10/02/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,40.724086,-73.951135,1,range_interpolation,643,"Manhattan Ave",Brooklyn,NY,"Kings County",11222,US,"TIGER/Line® dataset from the US Census Bureau"
TINTO,BROOKLYN,715,"NOSTRAND AVE",11216,"715 NOSTRAND AVE",01/26/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.67284,-73.950072,1,rooftop,715,"Nostrand Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"CHOCOLATE EXPRESSO BAR",BROOKLYN,792,"EASTERN PKWY",11213,"792 EASTERN PKWY",05/11/17,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,13,A,40.669003,-73.941962,1,rooftop,792,"Eastern Pkwy",Brooklyn,NY,"Kings County",11213,US,"City of New York"
TINTO,BROOKLYN,715,"NOSTRAND AVE",11216,"715 NOSTRAND AVE",01/26/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",13,A,40.67284,-73.950072,1,rooftop,715,"Nostrand Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
MUCHMORE'S,BROOKLYN,2,"HAVEMEYER STREET",11211,"2 HAVEMEYER STREET",08/24/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,40.71652,-73.952867,1,rooftop,2,"Havemeyer St",Brooklyn,NY,"Kings County",11211,US,"City of New York"
"THE CIVIL SERVICE CAFE",BROOKLYN,279,"NOSTRAND AVE",11216,"279 NOSTRAND AVE",03/17/17,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13,A,40.689266,-73.95121,1,rooftop,279,"Nostrand Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"CHOCK FULL O' NUTS",BROOKLYN,1508,"AVENUE J",11230,"1508 AVENUE J",01/24/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,40.625097,-73.96103,1,rooftop,1508,"Ave J",Brooklyn,NY,"Kings County",11230,US,"City of New York"
"LA BAGUETTE SHOP",BROOKLYN,1028,"NOSTRAND AVE",11225,"1028 NOSTRAND AVE",01/09/18,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,40.663256,-73.951073,1,range_interpolation,1028,"Nostrand Ave",Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
TBAARS,BROOKLYN,5314,"8TH AVE",11220,"5314 8TH AVE",11/17/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.639212,-74.005903,1,rooftop,5314,"8th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"UPSTATE STOCK",BROOKLYN,2,"BERRY ST",11249,"2 BERRY ST",02/01/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,40.722471,-73.955049,1,rooftop,2,"Berry St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"MILK & HONEY CAFE",BROOKLYN,1119,"NEWKIRK AVE",11230,"1119 NEWKIRK AVE",11/09/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.634167,-73.966703,1,range_interpolation,1119,"Newkirk Ave",Brooklyn,NY,"Kings County",11230,US,"TIGER/Line® dataset from the US Census Bureau"
"VIVI BUBBLE TEA",BROOKLYN,5924,"8TH AVE",11220,"5924 8TH AVE",12/05/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.635678,-74.009573,1,rooftop,5924,"8th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"NOBLE TREE COFFEE",BROOKLYN,445,"ALBEE SQUARE W",11201,"445 ALBEE SQUARE W",11/01/17,22F,,"Not Applicable",13,A,40.691147,-73.983288,1,range_interpolation,445,"Albee Sq",Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
"BLACK GOLD",BROOKLYN,461,"COURT STREET",11231,"461 COURT STREET",11/02/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.677265,-73.998195,1,rooftop,461,"Court St",Brooklyn,NY,"Kings County",11231,US,"City of New York"
TBAARS,BROOKLYN,5314,"8TH AVE",11220,"5314 8TH AVE",11/17/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.639212,-74.005903,1,rooftop,5314,"8th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"BLACK GOLD",BROOKLYN,461,"COURT STREET",11231,"461 COURT STREET",11/02/17,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,13,A,40.677265,-73.998195,1,rooftop,461,"Court St",Brooklyn,NY,"Kings County",11231,US,"City of New York"
"TUGBOAT TEA COMPANY",BROOKLYN,546,"FLATBUSH AVENUE",11225,"546 FLATBUSH AVENUE",04/04/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.660501,-73.960774,1,range_interpolation,546,"Flatbush Ave",Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
"STARBUCKS COFFEE #29856",BROOKLYN,444,"9TH ST",11215,"444 9TH ST",01/18/18,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.666831,-73.981839,1,rooftop,444,"9th St",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"DAILY PRESS",BROOKLYN,38,"SOMERS ST",11233,"38 SOMERS ST",01/12/18,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,13,A,40.678707,-73.91074,1,rooftop,38,"Somers St",Brooklyn,NY,"Kings County",11233,US,"City of New York"
"HE SHE EAT",BROOKLYN,2349,"86TH ST",11214,"2349 86TH ST",12/14/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,40.600003,-73.990255,1,rooftop,2349,"86th St",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"LAZY IBIS",BROOKLYN,663,"FRANKLIN AVE",11238,"663 FRANKLIN AVE",01/08/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.675778,-73.955974,1,rooftop,663,"Franklin Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"MILK & HONEY CAFE",BROOKLYN,1119,"NEWKIRK AVE",11230,"1119 NEWKIRK AVE",11/09/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.634167,-73.966703,1,range_interpolation,1119,"Newkirk Ave",Brooklyn,NY,"Kings County",11230,US,"TIGER/Line® dataset from the US Census Bureau"
"BLACK GOLD",BROOKLYN,461,"COURT STREET",11231,"461 COURT STREET",11/02/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,40.677265,-73.998195,1,rooftop,461,"Court St",Brooklyn,NY,"Kings County",11231,US,"City of New York"
"LIBERTY GRANT CAFE",BROOKLYN,1170,"LIBERTY AVE",11208,"1170 LIBERTY AVE",11/21/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,40.678778,-73.865927,1,rooftop,1170,"Liberty Ave",Brooklyn,NY,"Kings County",11208,US,"City of New York"
"BREAD & JOE",BROOKLYN,618,"4TH AVE",11215,"618 4TH AVE",02/10/17,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,13,A,40.664817,-73.993789,1,rooftop,618,"4th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"CITY TECH BOOKSTORE & CAFE",BROOKLYN,259,"ADAMS STREET",11201,"259 ADAMS STREET",10/31/17,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,13,A,40.695391,-73.988466,1,rooftop,259,"Adams St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"COCOA BAR BROOKLYN",BROOKLYN,228,"7th Ave",11215,"228 7th Ave",10/04/17,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,13,A,40.670188,-73.979012,1,rooftop,228,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"BROOKLYN ROASTING WORKS LLC",BROOKLYN,67,"WEST ST",11222,"67 WEST ST",07/12/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,13,A,40.728388,-73.945754,0.33,place,,,Brooklyn,NY,"Kings County",11222,US,"TIGER/Line® dataset from the US Census Bureau"
TBAAR,BROOKLYN,8520,"20TH AVE",11214,"8520 20TH AVE",03/08/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",13,A,40.604992,-73.998056,1,rooftop,8520,"20th Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"CHARLOTTE PATISSERIE",BROOKLYN,201,"COURT ST",11201,"201 COURT ST",10/17/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,40.687232,-73.993395,1,rooftop,201,"Court St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"BEDFORD COFFEE COMPANY/STARBUCKS",BROOKLYN,1650,"BEDFORD AVE",11225,"1650 BEDFORD AVE",11/02/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,40.66608,-73.95699,1,rooftop,1650,"Bedford Ave",Brooklyn,NY,"Kings County",11225,US,"City of New York"
"QATHRA CAFE",BROOKLYN,1112,"CORTELYOU RD",11218,"1112 CORTELYOU RD",08/29/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,40.639702,-73.967412,1,rooftop,1112,"Cortelyou Rd",Brooklyn,NY,"Kings County",11218,US,"City of New York"
"DAILY PRESS BED-STUY",BROOKLYN,505,"FRANKLIN AVENUE",11238,"505 FRANKLIN AVENUE",01/31/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.681404,-73.955593,1,range_interpolation,505,"Franklin Ave",Brooklyn,NY,"Kings County",11238,US,"TIGER/Line® dataset from the US Census Bureau"
"NOBLE TREE COFFEE",BROOKLYN,445,"ALBEE SQUARE W",11201,"445 ALBEE SQUARE W",11/01/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.691147,-73.983288,1,range_interpolation,445,"Albee Sq",Brooklyn,NY,"Kings County",11201,US,"TIGER/Line® dataset from the US Census Bureau"
"PLG COFFEE HOUSE AND TAVERN",BROOKLYN,499,"ROGERS AVE",11225,"499 ROGERS AVE",10/05/17,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13,A,40.660057,-73.953282,1,rooftop,499,"Rogers Ave",Brooklyn,NY,"Kings County",11225,US,"City of New York"
"CITY TECH BOOKSTORE & CAFE",BROOKLYN,259,"ADAMS STREET",11201,"259 ADAMS STREET",10/31/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.695391,-73.988466,1,rooftop,259,"Adams St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"THE CIVIL SERVICE CAFE",BROOKLYN,279,"NOSTRAND AVE",11216,"279 NOSTRAND AVE",03/17/17,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,13,A,40.689266,-73.95121,1,rooftop,279,"Nostrand Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"COCOA BAR BROOKLYN",BROOKLYN,228,"7th Ave",11215,"228 7th Ave",10/04/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.670188,-73.979012,1,rooftop,228,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"WORD UP CAFE",BROOKLYN,652,"PENNSYLVANIA AVE",11207,"652 PENNSYLVANIA AVE",02/05/18,10I,"Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",13,A,40.6613,-73.892866,1,rooftop,652,"Pennsylvania Ave",Brooklyn,NY,"Kings County",11207,US,"City of New York"
KONDITORI,BROOKLYN,240,"7 AVENUE",11215,"240 7 AVENUE",07/25/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.669703,-73.97942,1,rooftop,240,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"PLG COFFEE HOUSE AND TAVERN",BROOKLYN,499,"ROGERS AVE",11225,"499 ROGERS AVE",10/05/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,40.660057,-73.953282,1,rooftop,499,"Rogers Ave",Brooklyn,NY,"Kings County",11225,US,"City of New York"
"TAKE A BREAK & I'LL BAKE CAFE & CREPERIE",BROOKLYN,489,"COURT ST",11231,"489 COURT ST",06/13/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.676101,-73.998756,1,rooftop,489,"Court St",Brooklyn,NY,"Kings County",11231,US,"City of New York"
"CHARLOTTE PATISSERIE",BROOKLYN,596,"MANHATTAN AVENUE",11222,"596 MANHATTAN AVENUE",07/26/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,40.723076,-73.950254,1,rooftop,596,"Manhattan Ave",Brooklyn,NY,"Kings County",11222,US,"City of New York"
"KUNG FU TEA",BROOKLYN,2174,"86TH ST",11214,"2174 86TH ST",04/18/17,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,40.60203,-73.994311,1,rooftop,2174,"86th St",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"TANJIA HUKKA BAR",BROOKLYN,1752,"BATH AVENUE",11214,"1752 BATH AVENUE",01/19/17,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13,A,40.604148,-74.00685,1,rooftop,1752,"Bath Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"MILK & HONEY CAFE",BROOKLYN,1119,"NEWKIRK AVE",11230,"1119 NEWKIRK AVE",11/09/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,40.634167,-73.966703,1,range_interpolation,1119,"Newkirk Ave",Brooklyn,NY,"Kings County",11230,US,"TIGER/Line® dataset from the US Census Bureau"
MUCHMORE'S,BROOKLYN,2,"HAVEMEYER STREET",11211,"2 HAVEMEYER STREET",08/24/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,A,40.71652,-73.952867,1,rooftop,2,"Havemeyer St",Brooklyn,NY,"Kings County",11211,US,"City of New York"
"CHOCK FULL O' NUTS",BROOKLYN,1508,"AVENUE J",11230,"1508 AVENUE J",01/24/18,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.625097,-73.96103,1,rooftop,1508,"Ave J",Brooklyn,NY,"Kings County",11230,US,"City of New York"
"STARBUCKS COFFEE #29856",BROOKLYN,444,"9TH ST",11215,"444 9TH ST",01/18/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.666831,-73.981839,1,rooftop,444,"9th St",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"CITY TECH BOOKSTORE & CAFE",BROOKLYN,259,"ADAMS STREET",11201,"259 ADAMS STREET",10/31/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,A,40.695391,-73.988466,1,rooftop,259,"Adams St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"LAZY IBIS",BROOKLYN,663,"FRANKLIN AVE",11238,"663 FRANKLIN AVE",01/08/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,40.675778,-73.955974,1,rooftop,663,"Franklin Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"BREAD & JOE",BROOKLYN,618,"4TH AVE",11215,"618 4TH AVE",02/10/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,A,40.664817,-73.993789,1,rooftop,618,"4th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
VINEAPPLE,BROOKLYN,71,"PINEAPPLE STREET",11201,"71 PINEAPPLE STREET",02/14/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,13,A,40.698277,-73.99308,1,rooftop,71,"Pineapple St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"PUEBLO QUERIDO COFFEE",BROOKLYN,195,"GREENPOINT AVE",11222,"195 GREENPOINT AVE",10/25/17,02B,"Hot food item not held at or above 140Ã‚Âº F.",Critical,13,A,40.730587,-73.951929,1,range_interpolation,195,"Greenpoint Ave",Brooklyn,NY,"Kings County",11222,US,"TIGER/Line® dataset from the US Census Bureau"
"THE BUSHWICK DINER",BROOKLYN,299,"WYCKOFF AVE",11237,"299 WYCKOFF AVE",04/07/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,13,A,40.700509,-73.912605,1,rooftop,299,"Wyckoff Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"MILK & PULL CAFE",BROOKLYN,181,"IRVING AVE",11237,"181 IRVING AVE",01/18/18,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.702065,-73.919508,1,rooftop,181,"Irving Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
